Event	Spacecraft Name	Date	Planet(s)
Discovery of Uranus		3/13/1781	Uranus
The Great Moon Hoax		8/25/1835	The Moon
Discovery of Neptune		9/23/1846	Neptune
Canals first (mis)reported on Mars      9/5/1877    Mars
Robert Goddard launches first liquid-fueled rocket		3/16/1926	
Discover of Pluto		2/18/1930	Pluto
Sputnik 1 Launched	Sputnik 1	10/4/1957	
First impact of a probe on another world (The Moon)		9/13/1959	The Moon
Yuri Gagarin is the first human in space		4/12/1961	
First flyby of Venus	Mariner 2	12/14/1962	Venus
First flyby of Mars	Mariner 4	7/14/1965	Mars
Flyby of Venus proves beyond a doubt that it is not a warm, wet swamp	Mariner 5	10/19/1967	Venus
First person on the Moon	Apollo 11	7/20/1969	The Moon
First landing on Mars	Mars 3	12/2/1971	
First Jupiter flyby	Pioneer 10	12/3/1973	Jupiter
First Mercury flyby	Mariner 10	3/29/1974	Mercury
Pluto's moon Charon discovered		6/22/1978	Pluto
Discovery of volcanoes on Io	Voyager 1	3/5/1979	Io
First flyby of Saturn	Pioneer 11	9/1/1979	Saturn
First flyby of Titan	Pioneer 11	9/1/1979	Titan
First flyby of Uranus	Voyager 2	1/24/1986	Uranus
First flyby of Neptune	Voyager 2	8/25/1989	Neptune
Comet Shoemaker-Levy 9 crashes into Jupiter		7/16/1994	Jupiter
First entry into the atmosphere of Jupiter	Galileo	12/7/1995	Jupiter
Space Shuttle Challenger disaster	Challenger	1/28/1996	
Uranus's rings discovered		3/10/1997	Uranus
First rover on Mars	Mars Pathfinder	7/4/1997	Mars
First landing on an asteroid (Eros)	NEAR Shoemaker	2/12/2001	Asteroid
First orbit of Saturn	Cassini-Huygens	7/1/2004	Saturn
First soft landing on Titan	Cassini-Huygens	1/14/2005	Titan
First orbit of Mercury	MESSENGER	3/18/2011	Mercury
First manmade object in interstellar space	Voyager 1	8/25/2012	
First flyby of Ceres	Dawn	3/6/2015	Ceres
First flyby of Pluto	New Horizons	7/1/2015	Pluto